current_round,agents_data,death_data,birth_data
9,"(106, 362)","(11, 0)","(0, 20)"
10,"(292, 430)","(0, 0)","(186, 68)"
11,"(245, 476)","(45, 0)","(8, 46)"
12,"(203, 487)","(36, 5)","(0, 16)"
13,"(520, 531)","(3, 0)","(320, 44)"
14,"(386, 549)","(107, 0)","(0, 18)"
15,"(321, 605)","(62, 0)","(10, 56)"
16,"(789, 636)","(8, 1)","(476, 32)"
17,"(581, 684)","(161, 0)","(0, 48)"
18,"(481, 760)","(109, 0)","(32, 76)"
19,"(462, 776)","(18, 0)","(0, 16)"
20,"(985, 862)","(16, 0)","(540, 86)"
21,"(763, 913)","(206, 1)","(36, 52)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(79, 300)","(7, 0)","(0, 0)"
4,"(214, 336)","(7, 0)","(142, 36)"
5,"(170, 352)","(37, 0)","(0, 16)"
6,"(141, 396)","(24, 0)","(0, 44)"
7,"(381, 420)","(0, 0)","(240, 24)"
8,"(292, 434)","(68, 0)","(0, 14)"
9,"(240, 492)","(46, 0)","(0, 58)"
10,"(621, 560)","(5, 0)","(386, 68)"
11,"(479, 622)","(128, 0)","(16, 62)"
12,"(1040, 716)","(89, 3)","(668, 98)"
13,"(768, 772)","(239, 0)","(30, 56)"
14,"(609, 802)","(147, 0)","(18, 30)"
15,"(1442, 842)","(8, 0)","(842, 40)"
16,"(979, 858)","(353, 0)","(2, 16)"
17,"(746, 905)","(213, 1)","(34, 48)"
18,"(594, 933)","(138, 0)","(16, 28)"
19,"(1317, 1048)","(17, 1)","(742, 116)"
20,"(1008, 1109)","(276, 1)","(46, 62)"
21,"(2041, 1261)","(198, 2)","(1276, 154)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(78, 300)","(8, 0)","(0, 0)"
4,"(70, 300)","(8, 0)","(0, 0)"
5,"(196, 310)","(0, 0)","(126, 10)"
6,"(157, 312)","(32, 0)","(0, 2)"
7,"(132, 346)","(21, 0)","(0, 34)"
8,"(343, 404)","(1, 0)","(212, 58)"
9,"(266, 450)","(63, 0)","(2, 46)"
10,"(228, 460)","(33, 0)","(4, 10)"
11,"(542, 484)","(32, 0)","(348, 24)"
12,"(406, 550)","(113, 4)","(4, 70)"
13,"(329, 582)","(71, 0)","(10, 32)"
14,"(816, 668)","(4, 0)","(492, 86)"
15,"(617, 763)","(181, 1)","(24, 96)"
16,"(492, 781)","(114, 0)","(12, 18)"
17,"(1128, 874)","(20, 1)","(656, 94)"
18,"(884, 997)","(244, 1)","(68, 124)"
19,"(1919, 1051)","(40, 0)","(1078, 54)"
20,"(1317, 1079)","(473, 0)","(0, 28)"
21,"(1007, 1113)","(281, 0)","(40, 34)"
2,"(88, 300)","(10, 0)","(0, 0)"
3,"(80, 300)","(7, 0)","(0, 0)"
4,"(75, 300)","(5, 0)","(0, 0)"
5,"(70, 300)","(5, 0)","(0, 0)"
6,"(200, 342)","(0, 0)","(130, 42)"
7,"(163, 358)","(31, 0)","(0, 16)"
8,"(144, 370)","(19, 0)","(0, 12)"
9,"(369, 424)","(18, 0)","(244, 54)"
10,"(276, 434)","(73, 0)","(0, 10)"
11,"(224, 502)","(45, 0)","(2, 68)"
12,"(605, 532)","(1, 0)","(382, 30)"
13,"(451, 554)","(123, 0)","(0, 22)"
14,"(346, 580)","(87, 0)","(0, 26)"
15,"(289, 611)","(52, 3)","(4, 34)"
16,"(741, 632)","(2, 1)","(454, 22)"
